Sale Date,Product Name,Sales Amount,Sales Target,Region,Sales Representative,Sales Team,Customer Segment
2/21/2022,Vector,2873.58,2971.31,East,Jane Doe,Team Beta,Individual
2/22/2022,Zenith,20981.65,22673.16,South,Jane Doe,Team Beta,Startup
2/23/2022,Orbit,11422.42,10406.04,West,Mike Johnson,Team Beta,Individual
2/24/2022,Pulse,12514.84,12877.68,East,John Smith,Team Gamma,Education
2/25/2022,Zenith,2965.43,3291.33,East,Sarah Brown,Team Beta,Individual
2/26/2022,Pulse,-5969.03,-6416.16,North,Jane Doe,Team Beta,Small Business
2/27/2022,Stratus,13088.26,13127.34,South,Sarah Brown,Team Alpha,Enterprise
2/28/2022,Pulse,8742.75,9471.34,North,Jane Doe,Team Alpha,Startup
3/1/2022,Zenith,8643.45,8253.65,East,Sarah Brown,Team Alpha,Startup
3/2/2022,Orbit,4974.28,4736.19,North,Mike Johnson,Team Gamma,Education
3/3/2022,Vector,10337.81,10273.6,East,Mike Johnson,Team Alpha,Government
3/4/2022,Pulse,-5119.94,-5339.42,West,John Smith,Team Gamma,Non-Profit
3/5/2022,Pulse,6731.42,6875.84,East,Mike Johnson,Team Alpha,Corporate
3/6/2022,Zenith,9819.03,9966.13,South,Sarah Brown,Team Alpha,Government
3/7/2022,Zenith,-105.75,-106.47,North,John Smith,Team Alpha,Education
3/8/2022,Vector,4192.1,4155.32,North,Sarah Brown,Team Beta,Small Business
3/9/2022,Zenith,12888.95,11574.24,North,Jane Doe,Team Alpha,Individual
3/10/2022,Pulse,5626.09,5794.84,South,John Smith,Team Alpha,Corporate
3/11/2022,Stratus,14643.85,16584.93,South,Sarah Brown,Team Alpha,Small Business
3/12/2022,Pulse,20987.67,20270.74,West,Sarah Brown,Team Alpha,Small Business
3/13/2022,Pulse,4946.09,4986.32,South,John Smith,Team Beta,Education
3/14/2022,Orbit,7293.01,6887.23,South,Jane Doe,Team Alpha,Enterprise
3/15/2022,Pulse,3742.54,3647.95,West,Sarah Brown,Team Gamma,Non-Profit
3/16/2022,Zenith,662.24,779.86,South,John Smith,Team Alpha,Corporate
3/17/2022,Pulse,7757.37,7317.6,West,John Smith,Team Alpha,Small Business
3/18/2022,Stratus,-938.69,-942.14,North,Mike Johnson,Team Gamma,Corporate
3/19/2022,Vector,-4575.77,-4018.72,South,Sarah Brown,Team Gamma,Education
3/20/2022,Zenith,8857.27,9598.47,East,Jane Doe,Team Gamma,Non-Profit
3/21/2022,Zenith,11857.81,12370.08,East,Jane Doe,Team Beta,Corporate
3/22/2022,Orbit,6675.49,6760.46,North,Jane Doe,Team Alpha,Corporate
3/23/2022,Orbit,-4997.2,-4572.72,East,Jane Doe,Team Gamma,Non-Profit
3/24/2022,Vector,-2102.21,-1857.96,North,Sarah Brown,Team Gamma,Education
3/25/2022,Zenith,10762.42,10682.15,North,Jane Doe,Team Alpha,Corporate
3/26/2022,Orbit,12991.76,11212.9,East,Sarah Brown,Team Gamma,Small Business
3/27/2022,Orbit,11736.59,11015.3,North,John Smith,Team Alpha,Startup
3/28/2022,Zenith,6424.47,6502.06,North,Mike Johnson,Team Gamma,Government
3/29/2022,Vector,2288.72,2414.02,South,Mike Johnson,Team Alpha,Individual
3/30/2022,Orbit,-4723.98,-4470.72,East,John Smith,Team Alpha,Government
3/31/2022,Vector,14550.78,15339.65,East,Mike Johnson,Team Beta,Small Business
4/1/2022,Vector,5138.71,5108.47,West,Jane Doe,Team Alpha,Government
4/2/2022,Pulse,10565.66,11629.73,North,Sarah Brown,Team Alpha,Non-Profit
4/3/2022,Stratus,6573.79,6628.09,North,Sarah Brown,Team Beta,Startup
4/4/2022,Vector,10881.43,11403.98,East,Mike Johnson,Team Beta,Startup
4/5/2022,Orbit,11289.3,12270.68,West,Jane Doe,Team Beta,Education
4/6/2022,Pulse,8444.86,9156.65,East,Sarah Brown,Team Gamma,Enterprise
4/7/2022,Zenith,9133.36,8329.44,West,John Smith,Team Beta,Small Business
4/8/2022,Stratus,-1045.96,-1214.59,South,Sarah Brown,Team Gamma,Startup
4/9/2022,Zenith,16434.82,15831.96,South,John Smith,Team Gamma,Startup
4/10/2022,Pulse,14548.42,15957.3,West,Sarah Brown,Team Beta,Individual
4/11/2022,Zenith,-5596.32,-4998.37,West,Mike Johnson,Team Alpha,Government
4/12/2022,Orbit,18536.99,15907.76,South,Mike Johnson,Team Beta,Enterprise
4/13/2022,Pulse,3689.52,3119.29,East,Jane Doe,Team Beta,Corporate
4/14/2022,Orbit,13529.93,14125.74,West,Jane Doe,Team Alpha,Education
4/15/2022,Pulse,-2277.74,-2567.92,South,Mike Johnson,Team Beta,Government
4/16/2022,Pulse,10807.88,11078.59,North,Mike Johnson,Team Gamma,Corporate
4/17/2022,Stratus,1721.07,1874.95,West,Mike Johnson,Team Gamma,Startup
4/18/2022,Vector,4777.41,4843.59,East,Jane Doe,Team Alpha,Individual
4/19/2022,Stratus,8507.54,9144.53,East,John Smith,Team Gamma,Education
4/20/2022,Orbit,-519,-547.45,West,John Smith,Team Beta,Startup
4/21/2022,Vector,9501.51,8850.21,South,Mike Johnson,Team Beta,Individual
4/22/2022,Vector,4710.26,4396.31,South,Mike Johnson,Team Gamma,Non-Profit
4/23/2022,Vector,10665.95,11178.36,West,Jane Doe,Team Beta,Enterprise
4/24/2022,Vector,9718.87,9527.12,North,Jane Doe,Team Beta,Corporate
4/25/2022,Stratus,-1035.2,-1057.07,North,Sarah Brown,Team Beta,Government
4/26/2022,Pulse,7639.89,7534.96,South,John Smith,Team Gamma,Enterprise
4/27/2022,Zenith,-1200.16,-1307.49,East,Sarah Brown,Team Gamma,Small Business
4/28/2022,Vector,5506.97,5617.36,North,Jane Doe,Team Alpha,Enterprise
4/29/2022,Zenith,11249.05,12910.95,East,Mike Johnson,Team Beta,Enterprise
4/30/2022,Pulse,7127.54,7008.48,South,Mike Johnson,Team Gamma,Individual
5/1/2022,Orbit,2095.07,2163.33,North,Sarah Brown,Team Gamma,Startup
5/2/2022,Stratus,16741.91,17197.08,West,Mike Johnson,Team Beta,Education
5/3/2022,Stratus,35.36,31.33,West,Jane Doe,Team Beta,Small Business
5/4/2022,Vector,3653.57,3183.69,South,Sarah Brown,Team Gamma,Startup
5/5/2022,Vector,7075.3,6737.4,West,Sarah Brown,Team Beta,Startup
5/6/2022,Pulse,1566.39,1411.74,West,John Smith,Team Alpha,Non-Profit
5/7/2022,Vector,14930.39,15154.34,North,Jane Doe,Team Gamma,Startup
5/8/2022,Orbit,2618.97,2767.12,South,Jane Doe,Team Beta,Corporate
5/9/2022,Orbit,4372.83,4547.19,South,Sarah Brown,Team Alpha,Individual
5/10/2022,Zenith,11656.49,11882.58,South,John Smith,Team Beta,Government
5/11/2022,Orbit,17821.18,20232.19,North,Mike Johnson,Team Alpha,Startup
5/12/2022,Pulse,15627.31,13667.5,East,John Smith,Team Alpha,Education
5/13/2022,Zenith,4441.72,4391.32,South,Mike Johnson,Team Gamma,Corporate
5/14/2022,Zenith,11596.22,12983.19,South,Mike Johnson,Team Beta,Government
5/15/2022,Orbit,14687.83,12860.04,East,Jane Doe,Team Beta,Non-Profit
5/16/2022,Vector,13910.23,14507.7,North,Jane Doe,Team Beta,Small Business
5/17/2022,Orbit,1292.56,1288.14,North,Sarah Brown,Team Alpha,Small Business
5/18/2022,Pulse,-9009.44,-9144.1,East,Mike Johnson,Team Beta,Education
5/19/2022,Stratus,-2319.18,-2102.17,North,Mike Johnson,Team Beta,Individual
5/20/2022,Stratus,7333.45,7833.47,West,Jane Doe,Team Beta,Enterprise
5/21/2022,Stratus,10659.52,10751.54,West,Sarah Brown,Team Alpha,Corporate
5/22/2022,Orbit,11437.51,10246.86,West,Mike Johnson,Team Gamma,Enterprise
5/23/2022,Zenith,11425.25,11439.82,South,Jane Doe,Team Beta,Individual
5/24/2022,Vector,12488.21,12179.67,South,Sarah Brown,Team Alpha,Education
5/25/2022,Stratus,-639.8,-573.18,West,John Smith,Team Beta,Individual
5/26/2022,Stratus,13241.55,13759.8,East,Jane Doe,Team Gamma,Startup
5/27/2022,Stratus,-4004.11,-3998.06,South,Jane Doe,Team Alpha,Small Business
5/28/2022,Orbit,-3722.59,-3968.74,South,John Smith,Team Beta,Individual
5/29/2022,Zenith,5463.64,5257.66,North,Jane Doe,Team Alpha,Corporate
5/30/2022,Vector,7044.84,5704.4,South,Mike Johnson,Team Beta,Non-Profit
5/31/2022,Stratus,5376.98,5196.37,South,Jane Doe,Team Beta,Non-Profit
6/1/2022,Zenith,1197.15,1297.91,East,John Smith,Team Beta,Education
6/2/2022,Orbit,-2227.8,-2209.19,East,Jane Doe,Team Alpha,Individual
6/3/2022,Stratus,10538.15,9429.34,West,John Smith,Team Alpha,Education
6/4/2022,Orbit,15290.49,15730.99,South,Mike Johnson,Team Alpha,Small Business
6/5/2022,Stratus,-5069.93,-5252.59,South,Mike Johnson,Team Alpha,Non-Profit
6/6/2022,Stratus,-2696.15,-2539.36,North,Jane Doe,Team Gamma,Corporate
6/7/2022,Orbit,11595.6,10986.05,South,Jane Doe,Team Alpha,Corporate
6/8/2022,Vector,5175.74,4953.44,North,Mike Johnson,Team Gamma,Small Business
6/9/2022,Stratus,9900.74,10237.09,South,Jane Doe,Team Beta,Small Business
6/10/2022,Stratus,4452.8,4257.54,West,Jane Doe,Team Gamma,Education
6/11/2022,Orbit,373.69,396.56,South,John Smith,Team Alpha,Non-Profit
6/12/2022,Pulse,11946.25,10368.33,South,Jane Doe,Team Alpha,Small Business
6/13/2022,Pulse,14613.14,15380.21,North,Jane Doe,Team Alpha,Corporate
6/14/2022,Stratus,-4303.03,-3823.48,East,Jane Doe,Team Beta,Education
6/15/2022,Stratus,5444.86,5720.69,West,Sarah Brown,Team Alpha,Government
6/16/2022,Pulse,23814.15,24730.88,North,Sarah Brown,Team Beta,Education
6/17/2022,Vector,6207.36,6088.46,West,Mike Johnson,Team Gamma,Non-Profit
6/18/2022,Pulse,9350.24,8932.67,South,John Smith,Team Beta,Small Business
6/19/2022,Pulse,4373.37,3949.06,North,Mike Johnson,Team Alpha,Enterprise
6/20/2022,Stratus,8194.18,8545.25,East,John Smith,Team Gamma,Corporate
6/21/2022,Stratus,3094.46,2903.03,South,Mike Johnson,Team Alpha,Education
6/22/2022,Vector,14274.71,14591.57,East,Mike Johnson,Team Alpha,Non-Profit
6/23/2022,Vector,7919.09,7492.11,East,Sarah Brown,Team Beta,Startup
6/24/2022,Orbit,4925.54,5131.29,South,Jane Doe,Team Beta,Non-Profit
6/25/2022,Orbit,-2328.28,-2343.73,West,John Smith,Team Gamma,Corporate
6/26/2022,Vector,7360.14,7365.34,East,Jane Doe,Team Beta,Government
6/27/2022,Pulse,-5017.15,-4603.48,West,Jane Doe,Team Beta,Corporate
6/28/2022,Stratus,3358.77,3450.58,West,Mike Johnson,Team Beta,Individual
6/29/2022,Pulse,-2111.19,-1851.38,North,Sarah Brown,Team Alpha,Individual
6/30/2022,Stratus,10339.64,10665.22,East,Sarah Brown,Team Alpha,Corporate
7/1/2022,Vector,8267.88,7057.68,East,Jane Doe,Team Beta,Small Business
7/2/2022,Stratus,-6502.01,-6162.55,North,Jane Doe,Team Alpha,Non-Profit
7/3/2022,Zenith,-1148.58,-1075.01,West,Sarah Brown,Team Beta,Corporate
7/4/2022,Vector,13547.62,12798.51,North,John Smith,Team Beta,Corporate
7/5/2022,Stratus,11400.04,12110.68,North,Sarah Brown,Team Alpha,Enterprise
7/6/2022,Orbit,13420.03,12670.74,South,Sarah Brown,Team Beta,Individual
7/7/2022,Orbit,5813.5,5873.14,East,Mike Johnson,Team Gamma,Startup
7/8/2022,Pulse,5246.92,4985.64,North,Jane Doe,Team Gamma,Small Business
7/9/2022,Pulse,14359.36,15152.15,East,John Smith,Team Beta,Corporate
7/10/2022,Pulse,12024.27,12900.34,South,Sarah Brown,Team Gamma,Non-Profit
7/11/2022,Stratus,7539.56,6814.3,South,John Smith,Team Alpha,Non-Profit
7/12/2022,Vector,13797.54,11908.3,East,Mike Johnson,Team Gamma,Education
7/13/2022,Zenith,244.78,265.14,South,Sarah Brown,Team Alpha,Individual
7/14/2022,Stratus,7453.89,7906.48,West,John Smith,Team Gamma,Government
7/15/2022,Orbit,12047.4,10639.37,South,Sarah Brown,Team Beta,Individual
7/16/2022,Pulse,4722.52,4381.35,West,Sarah Brown,Team Alpha,Government
7/17/2022,Stratus,11051.74,11540.04,North,John Smith,Team Alpha,Small Business
7/18/2022,Pulse,11045.56,12044.95,South,Jane Doe,Team Alpha,Startup
7/19/2022,Zenith,7723.88,7439.3,North,Sarah Brown,Team Gamma,Corporate
7/20/2022,Stratus,18607.43,19350.77,West,Mike Johnson,Team Beta,Startup
7/21/2022,Stratus,8077.31,9217.89,East,Jane Doe,Team Gamma,Government
7/22/2022,Orbit,14821.29,14382.12,South,Sarah Brown,Team Alpha,Corporate
7/23/2022,Vector,9327.55,9620.79,West,Jane Doe,Team Gamma,Corporate
7/24/2022,Vector,14562.71,15477.55,South,Jane Doe,Team Beta,Corporate
7/25/2022,Pulse,13124.83,13480.48,North,Sarah Brown,Team Beta,Corporate
7/26/2022,Stratus,-7836.77,-7371.56,North,John Smith,Team Beta,Enterprise
7/27/2022,Zenith,14451.83,14813.57,North,John Smith,Team Gamma,Individual
7/28/2022,Zenith,7694.18,7736.89,East,Sarah Brown,Team Gamma,Individual
7/29/2022,Vector,6845.01,7383.51,West,John Smith,Team Beta,Enterprise
7/30/2022,Vector,21533.51,22084.54,West,Jane Doe,Team Beta,Government
7/31/2022,Stratus,10274.99,9502.43,South,Sarah Brown,Team Gamma,Non-Profit
8/1/2022,Zenith,12662.05,10869.56,West,Jane Doe,Team Beta,Startup
8/2/2022,Orbit,15987.44,18159.12,West,Jane Doe,Team Alpha,Individual
8/3/2022,Vector,7246.55,8218.38,North,Sarah Brown,Team Gamma,Non-Profit
8/4/2022,Vector,-1775.81,-1687.87,North,Mike Johnson,Team Alpha,Individual
8/5/2022,Zenith,2020.56,2055.88,East,Jane Doe,Team Beta,Small Business
8/6/2022,Stratus,-26.88,-25.74,West,Mike Johnson,Team Beta,Corporate
8/7/2022,Zenith,-2591.32,-2601.19,West,Jane Doe,Team Beta,Government
8/8/2022,Vector,13461.37,15616.49,East,Mike Johnson,Team Gamma,Small Business
8/9/2022,Zenith,-7656.07,-6343.45,North,Sarah Brown,Team Gamma,Individual
8/10/2022,Pulse,706.02,799.85,East,Mike Johnson,Team Alpha,Enterprise
8/11/2022,Vector,4837.97,5448.42,North,Jane Doe,Team Alpha,Enterprise
8/12/2022,Zenith,5195.35,4950.47,East,Sarah Brown,Team Gamma,Enterprise
8/13/2022,Zenith,-939.75,-926.97,East,Jane Doe,Team Beta,Small Business
8/14/2022,Zenith,4818.45,4918.26,South,Jane Doe,Team Gamma,Small Business
8/15/2022,Vector,7464.19,7662.4,East,Mike Johnson,Team Alpha,Individual
8/16/2022,Zenith,1911.63,1946,North,Mike Johnson,Team Gamma,Education
8/17/2022,Pulse,17764.52,15162.87,West,Sarah Brown,Team Gamma,Enterprise
8/18/2022,Zenith,-3905.36,-3955.56,South,Jane Doe,Team Beta,Small Business
8/19/2022,Zenith,13643.83,15765.95,North,Jane Doe,Team Alpha,Individual
8/20/2022,Pulse,2405.42,2390.58,North,Jane Doe,Team Beta,Enterprise
8/21/2022,Orbit,8052.93,7957.63,South,Mike Johnson,Team Alpha,Enterprise
8/22/2022,Stratus,7600.51,7486.63,West,Sarah Brown,Team Alpha,Government
8/23/2022,Vector,2457.81,2489.56,West,Mike Johnson,Team Beta,Education
8/24/2022,Orbit,8215.82,8110.89,East,Mike Johnson,Team Gamma,Enterprise
8/25/2022,Stratus,8074.08,7316.01,North,John Smith,Team Alpha,Education
8/26/2022,Stratus,17643.86,14978.59,South,Sarah Brown,Team Alpha,Startup
8/27/2022,Pulse,8097.61,8771.62,North,Mike Johnson,Team Gamma,Education
8/28/2022,Zenith,10175.71,10072.29,North,John Smith,Team Alpha,Small Business
8/29/2022,Orbit,17992.38,16432.71,West,Jane Doe,Team Gamma,Government
8/30/2022,Vector,11788.98,12083.26,West,Mike Johnson,Team Alpha,Education
8/31/2022,Vector,23019.77,25647.65,North,John Smith,Team Beta,Small Business
9/1/2022,Orbit,2985.76,2938.76,South,Sarah Brown,Team Gamma,Non-Profit
9/2/2022,Zenith,-3557.61,-3760.44,East,John Smith,Team Gamma,Enterprise
9/3/2022,Pulse,5026.59,5529.7,South,John Smith,Team Beta,Small Business
9/4/2022,Vector,10048.58,10379.26,South,Sarah Brown,Team Beta,Corporate
9/5/2022,Stratus,13580.9,13698.01,East,Mike Johnson,Team Beta,Small Business
9/6/2022,Pulse,2085.59,2351.69,South,Jane Doe,Team Gamma,Education
9/7/2022,Orbit,-444.98,-499.25,North,Mike Johnson,Team Alpha,Enterprise
9/8/2022,Pulse,3437.27,2911.14,South,Mike Johnson,Team Alpha,Individual
9/9/2022,Stratus,13737.79,13301.22,East,Jane Doe,Team Beta,Individual
9/10/2022,Zenith,9122.63,9711.94,East,Sarah Brown,Team Alpha,Government
9/11/2022,Orbit,4415.64,4435.23,East,John Smith,Team Alpha,Government
9/12/2022,Pulse,4852.94,4990.16,West,Mike Johnson,Team Gamma,Startup
9/13/2022,Vector,4390.47,3944.7,South,Jane Doe,Team Alpha,Education
9/14/2022,Orbit,-4863.47,-4982.1,East,Mike Johnson,Team Alpha,Individual
9/15/2022,Orbit,15710.9,17946.04,East,John Smith,Team Beta,Enterprise
9/16/2022,Stratus,17011.24,18414.87,North,Jane Doe,Team Beta,Startup
9/17/2022,Stratus,14506.55,14055.65,North,Jane Doe,Team Gamma,Non-Profit
9/18/2022,Vector,6430.65,6379.82,East,John Smith,Team Beta,Individual
9/19/2022,Vector,7576.28,8610.17,East,Mike Johnson,Team Gamma,Corporate
9/20/2022,Stratus,-1178.64,-1156.39,East,Sarah Brown,Team Gamma,Startup
9/21/2022,Stratus,11111.59,10817.16,South,Mike Johnson,Team Beta,Non-Profit
9/22/2022,Pulse,-1675.23,-1624.58,East,Sarah Brown,Team Beta,Startup
9/23/2022,Vector,9299.85,9165.13,North,Jane Doe,Team Beta,Corporate
9/24/2022,Orbit,5205.97,4980.97,North,Jane Doe,Team Gamma,Corporate
9/25/2022,Stratus,8961.58,9479.29,West,Jane Doe,Team Beta,Individual
9/26/2022,Zenith,12887.3,12189.6,North,Mike Johnson,Team Gamma,Individual
9/27/2022,Vector,7540.93,8601.18,East,John Smith,Team Alpha,Enterprise
9/28/2022,Pulse,-2739.08,-3057.49,North,Sarah Brown,Team Beta,Corporate
9/29/2022,Pulse,12530.36,11950.65,South,Sarah Brown,Team Gamma,Education
9/30/2022,Zenith,6091.52,6390.04,South,Jane Doe,Team Gamma,Education
10/1/2022,Stratus,9082,8811.07,East,Mike Johnson,Team Gamma,Corporate
10/2/2022,Vector,6778.01,7240.4,West,Sarah Brown,Team Beta,Small Business
10/3/2022,Orbit,13658.58,13216.97,North,Sarah Brown,Team Alpha,Education
10/4/2022,Pulse,11402.46,10547.48,East,Mike Johnson,Team Beta,Startup
10/5/2022,Zenith,13213.33,12939.19,South,Mike Johnson,Team Alpha,Non-Profit
10/6/2022,Orbit,9671.36,8913,West,Jane Doe,Team Alpha,Individual
10/7/2022,Orbit,9245.02,9473.93,South,Mike Johnson,Team Gamma,Non-Profit
10/8/2022,Vector,6649.28,7173.67,West,Jane Doe,Team Alpha,Non-Profit
10/9/2022,Stratus,9294.56,8689.48,West,Mike Johnson,Team Alpha,Corporate
10/10/2022,Zenith,-1678.29,-1748.94,North,Mike Johnson,Team Alpha,Education
10/11/2022,Orbit,-1611.11,-1470.1,North,Sarah Brown,Team Beta,Startup
10/12/2022,Zenith,6816.06,6872.28,East,Sarah Brown,Team Alpha,Education
10/13/2022,Stratus,3671.89,3820.85,South,Sarah Brown,Team Beta,Enterprise
10/14/2022,Zenith,17553.55,17899.97,North,Sarah Brown,Team Alpha,Education
10/15/2022,Vector,1552.6,1635.35,North,Sarah Brown,Team Beta,Corporate
10/16/2022,Stratus,4891.4,4940.03,East,Sarah Brown,Team Gamma,Education
10/17/2022,Pulse,20513.8,20944.5,West,Mike Johnson,Team Alpha,Corporate
10/18/2022,Orbit,-1433.24,-1241.41,West,John Smith,Team Alpha,Government
10/19/2022,Zenith,11851.59,11636.74,West,John Smith,Team Gamma,Government
10/20/2022,Vector,7570.29,7950.56,East,John Smith,Team Gamma,Government
10/21/2022,Zenith,2496.37,2486.9,East,Jane Doe,Team Gamma,Small Business
10/22/2022,Pulse,271.16,223.71,West,John Smith,Team Gamma,Individual
10/23/2022,Stratus,17284.88,16217.87,West,Mike Johnson,Team Beta,Government
10/24/2022,Vector,5601.72,5141.62,West,John Smith,Team Beta,Government
10/25/2022,Stratus,17081.88,17455.63,South,Sarah Brown,Team Gamma,Non-Profit
10/26/2022,Orbit,3713.88,3644.28,West,Jane Doe,Team Alpha,Education
10/27/2022,Pulse,9347.81,9165.63,North,Mike Johnson,Team Alpha,Enterprise
10/28/2022,Stratus,8156.96,7937.92,North,Jane Doe,Team Gamma,Government
10/29/2022,Stratus,6289.79,6197.73,South,Jane Doe,Team Beta,Education
10/30/2022,Stratus,-843.61,-848.75,East,Mike Johnson,Team Alpha,Corporate
10/31/2022,Stratus,7183.76,7070.27,West,Jane Doe,Team Alpha,Government
11/1/2022,Zenith,3340.12,3460.22,East,Sarah Brown,Team Alpha,Individual
11/2/2022,Stratus,5206.24,5321.84,West,Jane Doe,Team Gamma,Individual
11/3/2022,Orbit,6259.09,5750.81,West,Sarah Brown,Team Alpha,Government
11/4/2022,Pulse,3359.86,3261.85,North,Sarah Brown,Team Alpha,Enterprise
11/5/2022,Stratus,4819.7,4880.28,West,Jane Doe,Team Beta,Government
11/6/2022,Vector,10674.14,10763.55,North,Mike Johnson,Team Gamma,Small Business
11/7/2022,Zenith,20470,19447.45,East,Mike Johnson,Team Gamma,Education
11/8/2022,Pulse,818.16,777.88,South,Jane Doe,Team Alpha,Corporate
11/9/2022,Stratus,4294.01,4298.66,West,Sarah Brown,Team Alpha,Individual
11/10/2022,Stratus,9253.2,8113.88,North,Mike Johnson,Team Gamma,Startup
11/11/2022,Zenith,-1745.88,-1741.72,West,Jane Doe,Team Gamma,Startup
11/12/2022,Pulse,-2351.96,-2400.81,East,John Smith,Team Beta,Government
11/13/2022,Stratus,12175.76,11070.23,South,John Smith,Team Beta,Education
11/14/2022,Vector,17654.28,19543.74,North,John Smith,Team Beta,Corporate
11/15/2022,Pulse,3585.13,3325.34,North,John Smith,Team Gamma,Small Business
11/16/2022,Vector,18692.93,20102.87,North,Mike Johnson,Team Beta,Government
11/17/2022,Zenith,11457.2,11896.67,South,Jane Doe,Team Gamma,Enterprise
11/18/2022,Stratus,6334.64,6435.8,East,Jane Doe,Team Alpha,Startup
11/19/2022,Vector,10442.22,8852.99,East,Mike Johnson,Team Alpha,Startup
11/20/2022,Pulse,11702.92,11520.04,East,Jane Doe,Team Beta,Small Business
11/21/2022,Zenith,15295.93,15544.14,South,John Smith,Team Alpha,Non-Profit
11/22/2022,Pulse,4876.87,4428.93,North,Mike Johnson,Team Gamma,Education
11/23/2022,Zenith,27539.55,28601.07,North,Mike Johnson,Team Gamma,Non-Profit
11/24/2022,Stratus,7738.16,7770.41,East,Jane Doe,Team Gamma,Government
